Question,Answer
"3, 7, 13, 21, 31. 
What number comes next in the sequence?
a. 37 
b. 45 
c. 43 
d. 39 
e. 49 

"," Option C .  The number to add advances by 2 with each number, i.e., 3+4 = 7; 7 + 6 = 13; 13 + 8 = 21... 31 + 12 = 43.

"
"Compare and contrast or classification problems are commonly used to measure intelligence. Which of the five is least like the other four?
a. Eel  
b. Shark
c. Dolphin
d. Swordfish
e. Turtle

"," Option e.  A turtle breathes air and has four legs.

"
"Sales of an intelligence test, authored by Joe Doe, an awarding-winning psychologist and educator with more than 35 years of experience, are skyrocketing above competitors. More than 30,000 intelligence tests were sold in the first six months, but sales are now falling. A competitor is selling 12,000 cognitive intelligence tests every three months. In another six months, how many more tests will Joe Doe have sold than his closest competitor? 
a. 30,000 
b. 10,500 
c. 12,000 
d. Growth will be the same 
e. Not enough information to determine

"," Option e. 
Sales are falling, the rate of decline is not stated, plus sales are often seasonal, and Joe Doe's expected sales in the following six months are not stated.

"
"Any word or phrase produced from an original word or phrase by rearranging all the original letters to produce a new word or phrase is an anagram, another common IQ question type. Which of the following is an anagram for ``Intelligence Tests""? 
a. Clientele Setting 
b. Genetic Littleness 
c. Electing Entitles 
d. All of the above 
e. None of the above 

"," Option b.  Only the words, ``Genetic Littleness,"" can be rearranged to become Intelligence Tests. The other choices are missing another ``s.""

"
"If you rearrange the letters of ``ahret,"" you would have the name of a: 
a. Ventricle 
b. Fish 
c. River 
d. Planet 
e. Country

"," Option d.  Earth (a planet). A ventricle is not a heart, but a part of a heart.

"
"Which letter comes next in the sequence A, B, D, G, K? 
a. N  
b. P 
c. M 
d. O 
e. Q

"," Option b.  The sequence increments by one with each letter. The 5th letter after K is P.

"
"Which item best completes the IQ test analogy question, train is to truck as airplane is to? 
a. Glider 
b. Parachute 
c. Jet 
d. Bird 
e. Canoe

"," Option c.  Jet is the only item that uses an engine like airplanes, trains, and trucks.

"
"The mystery number is between 60 and 150, a multiple of 7, and the sum of its digits is 10. What is the mystery number? 
a. 63  
b. 84 
c. 82  
d. 91 
e. None of the above

"," Option d.  91 is the only choice given between 60 and 150, a multiple of 7 (13 x 7), and where the sum of its digits (9 + 1) equals 10.

"
"144, 233, 377, 610, ____, 1597, 2584. What is the missing number? 
a. 1110 
b. 1287 
c. 987 
d. 961 
e. None of the above

"," Option c.  By definition, the first two Fibonacci numbers are 0 and 1, and each subsequent number is the sum of the previous two.

"
"2,000,000 nanometers (nm) is to 2 millimeters (mm) as 25,000,000 nm is to? 
a. 25 nm  
b. 25.5 mm  
c. 20 mm 
d. 25 mm 
e. None of the above

"," Option d.  If 2,000,000 nanometers (nm) is equal to 2 millimeters (mm), then 25,000,000 nm must be equal to 25 millimeters (mm) as the relationship is one-to-one, 1 nm is equal to 1 mm.

"
