Question,Answer
"Based on close-world assumption and negation as failure, Can you answer the following question? Given context: The lion is slow. The lion is lazy. The wolf is strong. The wolf is fierce. The lion chases the mouse. The wolf likes the dog. The mouse is smart. The dog is smart. The dog is cute. The dog is small. If something is not smart then it needs the mouse. If something needs the mouse then it is rough. If something is not kind then it is strong. If something is not big then it is furry. If something is cute then it is small. If something is small and not awful then it is lovely. If something is strong and not kind then it is heavy. If something is slow and lazy then it is awful. If something is awful and not small then it is fierce. All furry animals are beautiful. 
Question: Is the lion heavy? What is the reasoning steps?

"," We could not conclude using the facts and rules in the question.

"
"You are shown a set of four cards placed on a table, each of which has a number on one side and a colored patch on the other side. The visible faces of the cards show 3, 8, red and brown. Which card(s) must you turn over in order to test the truth of the proposition that if a card shows an even number on one face, then its opposite face is red?

"," The correct response is to turn over the 8 card and the brown card.

"
"Alice and Rah are the only people in a room. Alice is happy. If someone is happy in a room, then someone else must be sad. Is Rah is sad?

"," Yes.

"
"Given context: If you have no keyboarding skills at all, you will not be able to use a computer. And if you are not able to use a computer, you will not be able to write your essays using a word processing program. 
Question: If the statements above are true, which one of the following must be true? 
A: If you are not able to write your essays using a word processing program, you have no keyboarding skills.
B: If you are able to write your essays using a word processing program, you have at least some keyboarding skills. 
C: If you are not able to write your essays using a word processing program, you are not able to use a computer. 
D: If you have some keyboarding skills, you will be able to write your essays using a word processing program.

"," B, from the contrapositive of the rules.

"
"Based on close-world assumption and negation as failure, Can you answer the following question? 
Given context: 
The bald eagle is boring. The bald eagle is rough. The dinosaur is heavy. The dinosaur is big. The bald eagle likes the dog. The dinosaur attacks the rabbit. The dog is round. The rabbit is round. The rabbit is furry. The rabbit is lovely. If something is not round then it chases the dog. If something chases the dog then it is reckless. If something is not kind then it is heavy. If something is not awful then it is cute. If something is furry then it is lovely. If something is lovely and not fierce then it is funny. If something is heavy and not kind then it is powerful. If something is boring and rough then it is fierce. If something is fierce and not lovely then it is big. If something is cute then it is small. If something is small then it is smart. If something is smart then it is kind. All kind animals are quiet. All funny animals are clever. If something is clever then it is nice. All nice animals are beautiful. If something is powerful then it is strong. If something is strong then it is sleepy. All sleepy animals are tired. If something is big then it is awful. If something is awful then it is dull. All dull animals are slow. All reckless animals are lazy. If something is lazy then it is angry. All angry animals are horrible. 
Question: Is the bald eagle tired? What are the reasoning steps?

"," Not achievable.

"
"Almanzo found a pocketbook with fifteen hundred dollars in it in the street. Almanzo's father guessed that the pocketbook belonged to Mr. Thompson. Almanzo found Mr. Thompson at a store in town. Almanzo turned to Mr. Thompson and asked, ``Did you lose a pocketbook?' Mr. Thompson jumped. He slapped a hand to his pocket, and fairly shouted. ``Yes, I have! Fifteen hundred dollars in it, too! What about it? What do you know about it?' ``Is this it?"" Almanzo asked. ``Yes, yes, that's it!"" Mr. Thompson said, snatching the pocketbook. He opened it and hurriedly counted the money. He counted all the bills over twice. He looked exactly like a man skinning a flea for its hide and tallow. Then he breathed a long sigh of relief and said, ``Well, this durn boy didn't steal any of it."" 
Question: Suppose that Mr. Thompson had found twelve hundred dollars in the pocketbook. He would probably have concluded: 
A. That he misremembered how much money was in the pocketbook. 
B. That the pocketbook must belong to someone else. 
C. That Almanzo had stolen three hundred dollars. 
D. That Almanzo had stolen all the money in the pocketbook 

"," A.

"
"Mr. Thompson would have concluded that Almanzo was a thief if: 
A: He found $1200 in the wallet 
B: He found $1500 in the wallet 
C: He found $1800 in the wallet 
D: All his money was in the wallet, but there was also a note. 
E: Almanzo told him that he had found the wallet in the street. 
F: The wallet looked as though someone had opened it. 
G: It occurred to him that Almanzo had a unusual name 
H: He couldn't get any tallow from the flea.

"," D.

"
"You are a prisoner in a room with 2 doors and 2 guards. One of the doors will guide you to freedom and behind the other is a hangman–you don't know which is which. One of the guards always tells the truth and the other always lies. You don't know which one is the truth-teller or the liar either. However, both guards know each other. You have to choose and open one of these doors, but you can only ask a single question to one of the guards. What do you ask to find the door leading to freedom?

"," If you ask to point to the door that leads to death (or freedom), both truth-guard and liar-guard point to the door that leads to death (or freedom). Therefore, no matter who you ask, the guards tell you which door leads to death (or freedom), and therefore you can pick the other door.

"
"S1: If Alan is kind, then Bob is clever. S2: Alan isn't kind if Bob isn't clever. Does S1 logically equivalent to S2?

"," Yes.

"
"If 1 woman can make 1 baby in 9 months, how many months does it take 9 woman to make 1 baby?

"," 9 months.

"
"The owner of a pet shop is a retired mathematician who never lies and makes precise statements. He tells a customer the parrot in the cage is extremely intelligent – in fact, ``this bird will repeat every word he hears."" The customer, impressed, buys the parrot. In a few days, the outraged customer returns with the parrot, saying ``I spoke to him for hours every day, but this stupid bird has not repeated a single word I said."" Nevertheless, the pet shop proprietor did not lie. Is this possible?

","
There are a number of solutions to this problem. Here are a few:
- The bird is deaf.
- The highly intelligent bird may well have ignored his new owner, who was an extremely boring conversationalist.
- The customer may be lying.

"
"The sculptor named White, a violinist named Black, and an artist named Red meet in a cafe. One of the three says: ``I have black hair, and you two have red hair and white hair, respectively, but non of us has a hair color that matches his name."" White responds: ``You are quite correct."" What color is the artist's hair?

"," Black.

"
"Three knights waited to cross the river Neva. Each knight had his own page, so there were six people. The boat they had could only carry two. However, the knights were ferocious killers and the pages were terrified. In fact, it was certain that any one of the pages would die of heart failure if he were not protected at every instant from the other knights by the presence of his own master. Was there a way to cross everyone over the river without losing a page?

","
Suppose we show knights with k1, k2, k3 and pages using p1, p2, p3. 
First, k1 and p1 cross the river and p1 returns. 
Second p1, p2 cross and p2 returns. 
Third p2, k2 cross and p2 returns. next p2, p3 cross and p3 returns. 
Finally, p3, k3 cross the river. (It is possible that knights return in each step).

"
"Grandfather is a very hard-boiled customer. In fact, his eggs must be boiled for exactly 15 minutes, no more, no less. One day he asks you to prepare breakfast for him, and the only timepieces in the house are two hourglasses. The larger hourglass takes 11 minutes for all the sand to descend; the smaller, 7 minutes. What do you do?

","
After turning over both hourglasses, put the egg into boiling water right after the smaller one (7 minutes) empties. Let the larger one run out (4 more minutes) and turn it over (11 more minutes). After it runs out again, take the egg out of the water. The egg will have been boiled for exactly 15 minutes (4 + 11).

"
"My dad has 4 sons. Each of his sons has a sister. How many children my dad has?

"," 5.

"
"Arrange the numbers 1 through 9 on a tic tac toe board such that the numbers in each row, column, and diagonal add up to 15.

"," 
 
 4 | 9 | 2
 --|---|--
 3 | 5 | 7
 --|---|--
 8 | 1 | 6


"
