Question,Answer
"A couple enters a grand ballroom only to find the occupants are dead. There has been no crime committed. The couple is not concerned by what they have found. How is this possible?

"," 
The couple is scuba diving on a sunken cruise ship. The occupants in the ballroom had drowned when the ship sank suddenly in a terrible disaster at sea.

"
"A carrot, a scarf, and five pieces of coal are found lying on your neighbor’s lawn. Nobody put them on the lawn, but there is a simple, logical reason why they are there. What is it?

"," The items were used by children to build a snowman that has now melted.

"
"An elderly woman lives on the 35th floor and hates taking the stairs. Every day she takes the elevator down to the lobby floor to go to work. When she comes home from work, she takes the elevator to the 25th floor and walks the rest of the way up, except on days when it rains. Those days she takes the elevator all the way home. Why does she walk the last ten flights of stairs if she hates it so much?

"," 
The elderly woman is too petite to reach the button for the 35th floor. She can only reach the 25th-floor button. On days when it rains, she uses her umbrella to hit the button for the 35th floor.

"
"You are driving a school bus. The bus is empty when you begin your route. At the first stop, 4 people get on. At the second stop, 8 people get on and 2 get off. At the third stop, 3 people get off and 4 get on. What color are the bus driver’s eyes?

"," The color of your eyes.

"
"A baby falls out of a window of a 20 story building, yet survives. How?

"," 
The window was on the ground floor.

"
"A man pushes his car until he reaches a hotel. When he arrives, he goes bankrupt. What happened?

"," 
He’s playing Monopoly and his piece is the car. He lands on a space with a hotel and doesn’t have the money to pay the fee.


"
"Rachael and Monica have moved into a shared house with several other occupants. Monica doesn’t like their new accommodation though because of the angry and aggressive cat that greeted them when they first walked in. Rachael realizes that there isn’t really a problem. Why?

"," 
There is a mirror near the entrance. Monica is a cat, saw her reflection, and thought that it was another cat challenging her for territory. Rachael can cover up the mirror until Monica becomes settled, but Monica will figure it out eventually even if Rachael does nothing.

"
"A family has a chicken coop for their one dozen hens. Late one night, a terrible storm came through their area and killed all but eight chickens. How many chickens did the family have the next morning?

"," 
The family still had 12 hens, four dead, and eight alive.

"
"A woman with her barking dog enters a room and presses a button. Within seconds, she instantly loses 20 pounds and the dog stops barking. How did she lose the weight?

"," 
The room is actually an elevator. When she gets inside to go down to her room, the elevator accelerates downward, making her weight temporarily lower.

"
"A woman who is in a department store fills her basket to the top and leaves the store without paying. Although she is seen, no one calls the police or attempts to stop her. Why?

"," 
The woman works there. She is filling the basket with trash and taking it out to the dumpster.

"
"A man is sentenced to death. He has to choose from three rooms to receive his punishment. The first room has a firing squad with guns loaded. The second room has a blazing fire. The third room is full of tigers that haven’t eaten for six months. Which room should he choose?

"," 
The room of tigers. If the tigers haven’t eaten in six months, they’re dead.

"
"While walking across a large open field, you come across a woman that has died very suddenly, unexpectedly, and only a very short time ago. You look around but there is no one and nothing except for an unopened package next to the woman. How did she die?

"," 
The unopened package was the woman’s parachute.

"
"Why is it better to have round manhole covers than square ones?

"," 
A square manhole cover can be turned and dropped down the diagonal of the manhole. A round manhole cover cannot be dropped down the manhole. So for safety reasons, all manhole covers should be round.

"
"1-2-3-4-5-6 I am a 6 letter word. Letters 6-5-2 spell out a drink. Letters 4-5-2-3 spell out a fruit. Letters 1-2-6 spell out a pet. Letters 3-2-6 spell out a pest, which often gets eaten by 1-2-6. What am I?

"," 
CARPET. 6-5-2: tea 4-5-2-3: pear 1-2-6: cat 3-2-6: rat

"
