Question,Answer
"What do the following words have in common? 
Assess
Banana
Dresser
Grammar
Potato
Revive
Uneven
Voodoo

"," If you take the first letter, the rest become a palindrome.

"
"You must wear this when a plane takes off and lands. 
1- boarding card 
2- meal 
3- seat belt

"," Option 3

"
"answer the below question:
After you land, you can collect this in the airport. 
1- baggage 
2- boarding card 
3- meal

"," Option 1

"
"answer the below question:
This is the food you eat at regular times each day. 
1- duty free  
2- meal 
3- water

"," Option 2

"
"answer the below question:
This is where you leave your baggage and get your boarding card. 
1- check-in desk 
2- departures board 
3- duty free

"," Option 1

"
"answer the below question:
A person between 13 and 19 years old is a 
1- beard. 
2- grey hair. 
3- teenager. 

"," Option 3

"
"answer the below question:
A man who has hair on the sides of his face and under his chin has a 
1- beard. 
2- goatee. 
3- moustache.

"," Option 1

"
"answer the below question:
Things that give or hold water 
1- bath 
2- shower 
3- tap
4- toothpaste 
5- washbasin

"," Options 1, 2, 3, and 5.

"
"answer the below question:
An animal that lives near or in the sea and has a lot of legs. 
1- crab 
2- shell 
3- surf

"," Option 1

"
"answer the below question:
The prince abdicated the crown and returned to his castle. Abdicated means… 
1- Gave up. 
2- Sold. 
3- Reinvested into. 
4- Auctioned.

"," Option 1.  
To abdicate means to relinquish or give up a throne, power, right, or responsibility. It does not mean to sell (B), reinvest in (C), or auction (D).

"
"answer the below question:
The convicted criminal absconded prior to the sentencing phase of the trial. Absconded means ... 
1- Touched the jury.  
2- Reported immediately. 
3- Left after discussion. 
4- Departed secretly.

"," Option 4. 
To abscond means to flee or escape secretly and hide. It can also connote making off with something (e.g. “He absconded with the treasure.”) It does not mean to touch anyone (A), to report immediately (B)-an opposite-or to leave after some discussion (C), but to break out/take off quickly.

"
"answer the below question:
The aural component of balance is critical for postural control during ambulation. Aural means related to the… 
1- Eye. 
2- Ear. 
3- Nose. 
4- Mouth.

"," Option 2.
Aural refers to the ears or hearing. A corresponding adjective referring to the eyes (A) is visual; to the nose (C) is nasal; and to the mouth (D) is oral.

"
"answer the below question:
The old man was benevolent with his fortune. Benevolent means… 
1- Secretive. 
2- Stingy. 
3- Kind. 
4- Careful.

"," Option 3.
Benevolent means kind or good. It does not mean secretive (A), i.e. keeping secret. In this sentence, stingy (B) is an antonym for “benevolent with his fortune.” Benevolent does not mean careful (D) or cautious.

"
"answer the below question:
The extra dirt was a key buttress to the foundation. Buttress means… 
1- Limiting factor. 
2- Support. 
3- Overwhelming condition. 
4- Obstacle.

"," Option 2. 
A buttress (noun) and to buttress (verb) mean support. Buttress is not a limiting factor (A), an overwhelming condition (C), or an obstacle (D) or barrier.

"
